county area,county code,county polish name,latitude,longitude
2860.00000000000,1461,powiat Ostrołęka,21.574782,53.077798
100387.00000000000,0607,powiat kraśnicki,22.140328,50.915476
102427.00000000000,1016,powiat tomaszowski,20.067357,51.596579
123042.00000000000,0415,powiat toruński,18.794317,53.046716
80691.00000000000,3013,powiat leszczyński,16.737670,51.850081
66412.00000000000,2405,powiat gliwicki,18.485502,50.362683
15198.00000000000,2468,powiat Jaworzno,19.272515,50.189496
87725.00000000000,1435,powiat wyszkowski,21.510691,52.650730
147332.00000000000,0418,powiat włocławski,19.041851,52.556634
151908.00000000000,2404,powiat częstochowski,19.505242,50.841244
93663.00000000000,0808,powiat świebodziński,15.506575,52.237340
193312.00000000000,2817,powiat szczycieński,21.018269,53.541843
100473.00000000000,2416,powiat zawierciański,19.619608,50.544266
157510.00000000000,2203,powiat człuchowski,17.166939,53.751140
77188.00000000000,2818,powiat gołdapski,22.281294,54.260628
121202.00000000000,1813,powiat przemyski,22.522227,49.761334
102758.00000000000,1804,powiat jarosławski,22.799371,50.025191
94007.00000000000,2006,powiat kolneński,21.958820,53.392038
74385.00000000000,0209,powiat legnicki,16.343788,51.241253
42831.00000000000,0210,powiat lubański,15.275898,51.045055
62829.00000000000,0206,powiat karkonoski,15.555622,50.874485
28807.00000000000,2415,powiat wodzisławski,18.443862,49.993394
24721.00000000000,1421,powiat pruszkowski,20.840772,52.100891
80159.00000000000,0224,powiat ząbkowicki,16.856437,50.556762
118215.00000000000,3210,powiat myśliborski,14.775413,52.854906
122419.00000000000,1607,powiat nyski,17.304352,50.460491
130851.00000000000,1809,powiat lubaczowski,23.145338,50.195698
50301.00000000000,1819,powiat strzyżowski,21.715693,49.877018
57474.00000000000,1436,powiat zwoleński,21.642268,51.360797
80677.00000000000,1437,powiat żuromiński,19.878035,53.016369
41351.00000000000,1214,powiat proszowicki,20.266558,50.217016
41118.00000000000,1219,powiat wielicki,20.172837,49.981808
148907.00000000000,1014,powiat sieradzki,18.613259,51.603314
35845.00000000000,1021,powiat brzeziński,19.819083,51.840820
124780.00000000000,0806,powiat strzelecko-drezdenecki,15.648213,52.912198
58401.00000000000,1808,powiat leżajski,22.414162,50.261572
68507.00000000000,3001,powiat chodzieski,16.969079,52.952589
73621.00000000000,3014,powiat międzychodzki,16.033510,52.601888
85184.00000000000,1604,powiat kluczborski,18.145847,50.985611
81100.00000000000,3004,powiat gostyński,17.096680,51.836802
42406.00000000000,2603,powiat kazimierski,20.525212,50.288123
116085.00000000000,3007,powiat kaliski,18.254719,51.789263
79427.00000000000,2204,powiat gdański,18.591652,54.224792
106511.00000000000,3218,powiat łobeski,15.516205,53.672892
104977.00000000000,0214,powiat oleśnicki,17.500454,51.254799
62237.00000000000,0217,powiat strzeliński,17.076616,50.766799
50159.00000000000,0417,powiat wąbrzeski,18.928144,53.282344
4353.00000000000,1861,powiat Krosno,21.753529,49.689298
5835.00000000000,0862,powiat Zielona Góra,15.548988,51.927693
147419.00000000000,0414,powiat świecki,18.426869,53.480877
77931.00000000000,1803,powiat dębicki,21.311151,49.999264
6559.00000000000,2470,powiat Mysłowice,19.132686,50.209626
87672.00000000000,0605,powiat janowski,22.423387,50.745473
79995.00000000000,1423,powiat przysuski,20.629963,51.423734
61162.00000000000,0405,powiat golubsko-dobrzyński,19.024790,53.099184
101681.00000000000,3205,powiat gryficki,15.259934,53.943204
15805.00000000000,2414,powiat bieruńsko-lędziński,19.141036,50.093414
16473.00000000000,2469,powiat Katowice,19.005860,50.213875
121427.00000000000,0801,powiat gorzowski,14.966331,52.738627
99926.00000000000,0805,powiat słubicki,14.739049,52.322712
61216.00000000000,2608,powiat pińczowski,20.493488,50.499805
13544.00000000000,2262,powiat Gdynia,18.499175,54.509294
6455.00000000000,2479,powiat Żory,18.680613,50.038890
69318.00000000000,2819,powiat węgorzewski,21.791850,54.207411
148933.00000000000,0618,powiat tomaszowski,23.579594,50.478124
85515.00000000000,2009,powiat sejneński,23.312258,54.095605
87604.00000000000,1601,powiat brzeski,17.535579,50.789252
44249.00000000000,1605,powiat krapkowicki,17.955328,50.452396
164325.00000000000,0208,powiat kłodzki,16.588684,50.388763
14799.00000000000,0663,powiat Lublin,22.554685,51.218205
83469.00000000000,1821,powiat leski,22.354878,49.319416
129510.00000000000,0608,powiat lubartowski,22.516529,51.535019
93243.00000000000,0614,powiat puławski,22.070285,51.418514
95763.00000000000,0615,powiat radzyński,22.669719,51.782550
